stop_id,stop_lat,stop_lon
5102244,53.2379827,20.1677473
5473332,49.10611,14.30111
5434904,50.23222,17.64444
5474233,49.778759,13.503131
5473235,49.76694,13.50416
5107458,50.3302375,19.1853915
5108120,50.0539304,21.4041528
5475702,49.16416,14.95111
5435015,49.0342746,15.7252166
5453790,50.56138,16.18777
5433264,49.88055,18.17083
5455710,50.3732464,15.1766748
5433274,49.9,18.46638
5433322,49.83833,17.39472
5455659,50.77333,14.20083
5455689,50.775,14.22333
5458689,50.775588,14.224193
5455609,50.79333,14.23055
5455629,50.78472,14.20888
5456019,50.76638,14.21444
5455619,50.8175,14.22111
5105742,50.2384136,16.6379329
5454556,50.18916,14.20166
5453024,50.2425,14.63416
5455293,49.925,16.17416
5473225,49.75138,13.51194
8012845,51.4600093,13.5165719
5454762,50.98972,15.025
8102806,48.2562384,16.4004908
5473742,49.11833,14.73638
5456239,50.72388,14.33166
5474005,50.12416,12.355
5474010,50.11722,12.35888
8013404,48.3951508,11.7445653
8101583,48.4952269,14.4814066
5433334,49.54166,18.22444
5433324,49.545,18.20638
5433344,49.6775,18.35361
5433354,49.58861,18.35444
5433384,49.58444,18.36083
5433374,49.56972,18.36055
5454652,50.91888,15.07333
5454662,50.92666,15.07638
5433404,49.71333,17.91277
8013539,49.3099621,12.8394869
5100758,54.4098972,18.5718547
5100753,54.3817696,18.6055111
5100590,54.5216208,18.5274712
5106970,50.3010936,18.6769406
8102451,48.7642168,14.9845125
5106190,50.493165,18.0186011
5454083,49.83666,15.46777
5454093,49.82166,15.47333
5105738,50.3543949,16.6409172
8013857,50.9411905,14.1646995
5433805,48.98416,15.87416
8014106,50.9026,14.6444
5433482,49.53388,17.30527
5501289,47.6820845,17.6348269
5104220,51.6696063,16.0798664
5105710,50.3301598,17.3944233
8014291,50.9064062,14.7043574
5454602,50.92861,15.19722
5433492,49.3221901,18.15401
5433412,49.3160456,18.1421612
8014421,53.5538295,9.9351453
8014429,53.4898442,10.2065766
5437035,49.56722,15.89638
5476985,49.21111,13.175
5433542,50.07166,16.92916
5434772,50.05805,16.92305
5433582,50.08916,16.92
5454922,50.77138,15.39305
5456446,49.91361,15.05777
5473535,49.41638,12.87472
5454213,49.59833,15.58805
5454203,49.61416,15.53944
5433454,49.79138,18.41194
5433461,49.78833,18.43916
5433474,49.79055,18.46
5436595,49.0325,17.62
5473595,50.16194,12.27972
5501362,47.9140794,17.145299
8014688,50.9815969,13.8581167
8102406,48.2486697,16.3659272
5454832,50.87944,15.18472
5100679,54.6110402,18.8008848
5105645,50.663243,17.0300261
5474752,48.61916,14.34944
5453560,49.9896526,16.7532676
5455843,49.52527,15.47305
5455216,49.60305,14.58333
5474645,49.71055,13.0875
5455713,49.95138,15.65833
5473122,49.24444,14.13944
5473402,49.23611,14.13611
5434174,49.71333,17.75805
5433494,49.6775,17.98444
5434814,49.67972,17.95083
5475915,50.15388,12.6075
5456161,50.36361,14.56222
5433595,49.37083,17.63166
5454853,49.76666,15.90166
5615906,48.4334385,17.8070117
5473302,49.03222,14.42027
5473482,49.05055,14.46388
5474152,48.89583,14.67527
5453404,50.00222,15.21861
5433592,49.64694,17.40805
5433612,49.62555,17.40305
5433602,49.61305,17.39472
5433504,49.90083,18.19361
5433102,49.63888,17.28111
5454024,49.98166,15.29333
5433514,49.67861,18.53888
5453370,50.0015782,16.4613218
5454287,50.45277,14.36138
5455640,50.31222,15.72166
5474960,49.27166,15.48388
5456286,49.785,15.16361
5456226,49.7775,15.15388
5454272,50.66722,15.10055
5457360,50.60472,16.07194
5433825,48.84138,16.16444
5433845,48.85611,17.12111
5475942,48.7788505,14.1042533
8102825,48.5982537,16.9008506
5476995,49.19083,13.22222
5434674,50.00027,17.80361
5453327,50.2849846,13.558695
5454873,49.78805,15.92722
5474092,49.0785851,14.2100966
5433855,49.32694,17.57111
5455513,50.06916,15.9925
5475312,48.85138,14.44777
8102662,48.5629604,16.072294
